Arguments:
Namespace(exp_pool_path='artifacts/exp_pool/exp_pool.pkl', sample_step=None, num_executors=50, job_arrival_cap=200, job_arrival_rate=4e-05, moving_delay=2000.0, warmup_delay=1000.0, render_mode=None, dataset='tpch', plm_type='llama', plm_size='tiny', rank=128, pt_encoder_config=None, state_feature_dim=256, K=20, gamma=1.0, max_exec_num=50, max_stage_num=100, lr=0.0001, weight_decay=0.0001, warmup_steps=2000, num_iters=10, num_steps_per_iter=10000, eval_max_ep_len=6000, eval_per_iter=1, save_checkpoint_per_iter=1, target_return_scale=1.0, which_layer=-1, train=True, test=False, grad_accum_steps=32, seed=666, env_seed=666, scale=1000, resume_dir=None, resume_iter=None, model_dir=None, use_head=3, device='cuda:0', device_out='cuda:0', device_mid=None)
Experience dataset info:
Munch({'max_reward': 0, 'min_reward': -504129.1369907103, 'max_return': 5.793701710089156, 'min_return': 0.0009962767476381065, 'min_timestep': 0, 'max_timestep': 5813, 'min_num_nodes': 1, 'max_num_nodes': 134, 'min_num_dags': 1, 'max_num_dags': 16, 'min_stage_idx': 0, 'max_stage_idx': 47, 'min_job_idx': 0, 'max_job_idx': 15, 'min_num_exec': 0, 'max_num_exec': 49})
If tokenizer is loaded:  [1, 22172, 3186] 

==================== Training Iteration #0 ====================
Step 0 - mean train loss  5.333776
Step 100 - mean train loss  3.999923
Step 200 - mean train loss  3.933753
Step 300 - mean train loss  3.947239
Step 400 - mean train loss  3.889591
Step 500 - mean train loss  3.875367
Step 600 - mean train loss  3.892053
Step 700 - mean train loss  3.880507
Step 800 - mean train loss  3.873167
Step 900 - mean train loss  3.875173
Step 1000 - mean train loss  3.867954
Step 1100 - mean train loss  3.850839
Step 1200 - mean train loss  3.852065
Step 1300 - mean train loss  3.848524
Step 1400 - mean train loss  3.839753
Step 1500 - mean train loss  3.840538
Step 1600 - mean train loss  3.827786
Step 1700 - mean train loss  3.825933
Step 1800 - mean train loss  3.812138
Step 1900 - mean train loss  3.810069
Step 2000 - mean train loss  3.805902
Step 2100 - mean train loss  3.802900
Step 2200 - mean train loss  3.803662
Step 2300 - mean train loss  3.804088
Step 2400 - mean train loss  3.799910
Step 2500 - mean train loss  3.797731
Step 2600 - mean train loss  3.790445
Step 2700 - mean train loss  3.788126
Step 2800 - mean train loss  3.789162
Step 2900 - mean train loss  3.788096
Step 3000 - mean train loss  3.786054
Step 3100 - mean train loss  3.784821
Step 3200 - mean train loss  3.781684
Step 3300 - mean train loss  3.782440
Step 3400 - mean train loss  3.779579
Step 3500 - mean train loss  3.777249
Step 3600 - mean train loss  3.778936
Step 3700 - mean train loss  3.777082
Step 3800 - mean train loss  3.778166
Step 3900 - mean train loss  3.774983
Step 4000 - mean train loss  3.774441
Step 4100 - mean train loss  3.769109
Step 4200 - mean train loss  3.770572
Step 4300 - mean train loss  3.768857
Step 4400 - mean train loss  3.766190
Step 4500 - mean train loss  3.764524
Step 4600 - mean train loss  3.761433
Step 4700 - mean train loss  3.757987
Step 4800 - mean train loss  3.755678
Step 4900 - mean train loss  3.753718
Step 5000 - mean train loss  3.748423
Step 5100 - mean train loss  3.744989
Step 5200 - mean train loss  3.743381
Step 5300 - mean train loss  3.741493
Step 5400 - mean train loss  3.739946
Step 5500 - mean train loss  3.739032
Step 5600 - mean train loss  3.735518
Step 5700 - mean train loss  3.735554
Step 5800 - mean train loss  3.731619
Step 5900 - mean train loss  3.729967
Step 6000 - mean train loss  3.728037
Step 6100 - mean train loss  3.726856
Step 6200 - mean train loss  3.724519
Step 6300 - mean train loss  3.723275
Step 6400 - mean train loss  3.721923
Step 6500 - mean train loss  3.720421
Step 6600 - mean train loss  3.719542
Step 6700 - mean train loss  3.716221
Step 6800 - mean train loss  3.714082
Step 6900 - mean train loss  3.712237
Step 7000 - mean train loss  3.708898
Step 7100 - mean train loss  3.707993
Step 7200 - mean train loss  3.705709
Step 7300 - mean train loss  3.703182
Step 7400 - mean train loss  3.702609
Step 7500 - mean train loss  3.699972
Step 7600 - mean train loss  3.696241
Step 7700 - mean train loss  3.694805
Step 7800 - mean train loss  3.693416
Step 7900 - mean train loss  3.690148
Step 8000 - mean train loss  3.687557
Step 8100 - mean train loss  3.685022
Step 8200 - mean train loss  3.682422
Step 8300 - mean train loss  3.679940
Step 8400 - mean train loss  3.678239
Step 8500 - mean train loss  3.676744
Step 8600 - mean train loss  3.674966
Step 8700 - mean train loss  3.672852
Step 8800 - mean train loss  3.671423
Step 8900 - mean train loss  3.668940
Step 9000 - mean train loss  3.666844
Step 9100 - mean train loss  3.665439
Step 9200 - mean train loss  3.663235
Step 9300 - mean train loss  3.661176
Step 9400 - mean train loss  3.659150
Step 9500 - mean train loss  3.658634
Step 9600 - mean train loss  3.656420
Step 9700 - mean train loss  3.655071
Step 9800 - mean train loss  3.654039
Step 9900 - mean train loss  3.652404
>>>>>>>>>> Training Information:
{'time/training': 5576.200650930405,
 'training/train_loss_mean': 3.650637753713131,
 'training/train_loss_std': 0.6657100967170412}
Checkpoint saved at: artifacts/ft_plms/llama_tiny/artifacts_exp_pool_exp_pool_ss_None/peft_128_K_20_gamma_1.0_sfd_256_exec_50_stage_100_lr_0.0001_wd_0.0001_warm_2000_iters_10_steps_10000_seed_666/early_stop_-1_checkpoint/0
==================== Training Iteration #1 ====================
Step 0 - mean train loss  3.043060
Step 100 - mean train loss  3.482379
Step 200 - mean train loss  3.563034
Step 300 - mean train loss  3.500481
Step 400 - mean train loss  3.468759
Step 500 - mean train loss  3.451996
Step 600 - mean train loss  3.443629
Step 700 - mean train loss  3.440624
Step 800 - mean train loss  3.433931
Step 900 - mean train loss  3.433554
Step 1000 - mean train loss  3.428050
Step 1100 - mean train loss  3.417941
Step 1200 - mean train loss  3.422641
Step 1300 - mean train loss  3.415345
Step 1400 - mean train loss  3.419710
Step 1500 - mean train loss  3.403237
Step 1600 - mean train loss  3.400773
Step 1700 - mean train loss  3.402887
Step 1800 - mean train loss  3.405589
Step 1900 - mean train loss  3.409232
Step 2000 - mean train loss  3.410707
Step 2100 - mean train loss  3.407247
Step 2200 - mean train loss  3.411182
Step 2300 - mean train loss  3.410907
Step 2400 - mean train loss  3.415934
Step 2500 - mean train loss  3.415308
Step 2600 - mean train loss  3.413175
Step 2700 - mean train loss  3.407565
Step 2800 - mean train loss  3.409003
Step 2900 - mean train loss  3.407897
Step 3000 - mean train loss  3.405834
Step 3100 - mean train loss  3.405057
Step 3200 - mean train loss  3.405020
Step 3300 - mean train loss  3.403209
Step 3400 - mean train loss  3.398409
Step 3500 - mean train loss  3.399219
Step 3600 - mean train loss  3.398155
Step 3700 - mean train loss  3.394280
Step 3800 - mean train loss  3.394390
Step 3900 - mean train loss  3.393634
Step 4000 - mean train loss  3.394918
Step 4100 - mean train loss  3.393974
Step 4200 - mean train loss  3.389367
Step 4300 - mean train loss  3.390636
Step 4400 - mean train loss  3.390802
Step 4500 - mean train loss  3.386634
Step 4600 - mean train loss  3.387680
Step 4700 - mean train loss  3.387409
Step 4800 - mean train loss  3.386745
Step 4900 - mean train loss  3.385283
Step 5000 - mean train loss  3.383155
